"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)"
"DCWR","13795","Coil Dream Catcher Bracelets","10294","0","11.95"
"DCWR","13795","Coil Dream Catcher Bracelets","10295","2","11.95"
"DCWR","13795","Coil Dream Catcher Bracelets","10296","2","11.95"
"DCWR","13795","Coil Dream Catcher Bracelets","10297","2","11.95"
"DCWR","13795","Coil Dream Catcher Bracelets","10298","3","11.95"
"DCWR","13795","Coil Dream Catcher Bracelets","10299","2","11.95"
"Worry Stones","13898","Stones - Worry","","3","2.95"
"Arrowhead","13899","Arrowhead","","245","1.55"
"2 sisters","13970","2 Sisters","","2","82.00"
"3 sisters","13972","3 Sisters","","2","115.00"
"4 sisters","13974","4 Sisters","","3","145.00"
"CBWL","13979","Candle Bowls (with lids)","","2","48.45"
"ME","13993","Mother Earth","","2","82.00"
"GFSW","13994","Guardian from the Spirit World","","2","96.00"
"PROTECTEUR_AQUA","14286","Aqua Armor","","5","38.00"
